Nummer;Vattentyp;Namn;Braxen;Faren;Skäggsimpa;Löja;Klorocka;Kusttobis;Havstobis;Havskatt;Tungevar;Klarbult;Näbbgädda;Björkna;Randig_sjökock;Fläckig_sjökock;Krabbtaska;Ruda;Grässnultra;Havsmus;Sill_strömming;Sik_havslekande;Siklöja_höstlekande;Bergsimpa;Stensimpa;Glasbult;Stensnultra;Sjurygg;Fyrtömmad_skärlånga;Större_havsnål;Gädda;Knot;Torsk_Östersjön;Torsk_Västerhavet;Storspigg;Rödtunga;Svart_smörbult;Sjustrålig_smörbult;Gärs;Hälleflundra;Lerskädda;Hummer;Tobiskung;Berggylta;Blågylta;Id;Sandskädda;Större_ringbuk;Tångringbuk;Lake;Spetslångebarn;Ålbrosme;Kolja;Vitling;Kummel;Taggsimpa;Kolmule;Bergskädda;Långa;Rötsimpa;Havskräfta;Nors;Nordhavsräka;Abborre;Tejstefisk;Elritsa;Småvar;Skrubbskädda;Rödspätta;Lyrtorsk;Gråsej;Bergstubb;Sandstubb;Lerstubb;Piggvar;Småspigg;Knaggrocka;Mört;Oring_havs_Lekvandring;Gös;Sarv;Makrill;Slätvar;Tunga;Tångspigg;Skarpsill;Skärsnultra;Större_kantnål;Tångsnälla;Oxsimpa;Harr;Sutare;Fjärsing;Taggmakrill;Hornsimpa;Glyskolja;Vitlinglyra;Bergvar;Tånglake;Småfläckig_rödhaj;Pigghaj
1;Kustvatten;Västkustens inre kustvatten;0;0;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0
2;Kustvatten;Västkusten, fjordar;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0
3;Kustvatten;Västkustens yttre kustvatten, Skagerrak;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0
4;Kustvatten;Västkustens yttre kustvatten, Kattegatt;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0
5;Kustvatten;Södra Hallands och norra Öresunds kustvatten;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0
6;Kustvatten;Öresunds kustvatten;0;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0
7;Kustvatten;Skånes kustvatten;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
8;Kustvatten;Blekinge skärgård och Kalmarsund, inre kustvatten;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
9;Kustvatten;Blekinge skärgård och Kalmarsund, yttre kustvatten;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
10;Kustvatten;Ölands och Gotlands kustvatten;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
